arXiv ID,Primary category,Journal,Is proceedings,Presents new numerical results,UK authors,Generates field configurations,Specifies software used for configuration generation,Software used for configuration generation,Repository/hosting service for configuration generation code,Performs measurements,Specifies software used for measurement,Software used for measurements,Repository/hosting service for measurement code,Uses existing configurations,Configuration hosting infrastructure acknowledged,Cites existing configurations,Configurations generated by,Reanalyses other existing data,Cites other existing data,Publishes data,Data available on request?,Repository used for data,Specifies software used for analysis,Software used for analysis,Repository/hosting service for analysis code,Publishes parts of analysis,Publishes full analysis,Acknowledges an HPC centre,Acknowledges Supercomputing Wales,Acknowledges DiRAC,Review paper,Cites any other software,Comments
2106.14416,hep-lat,PTEP,N,N,N,N,,,,N,,,,N,,,,N,,N,N,,,,,N,N,N,N,N,N,,
2106.14716,hep-ph,Nucl.Phys.B,N,Y,N,N,,,,N,,,,N,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2106.14897,cond-mat.str-el,Phys.Rev.B,N,Y,N,N,,,,N,,,,N,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2106.14971,hep-th, ,N,N,N,N,,,,N,,,,N,,,,N,,N,N,,,,,N,N,N,N,N,N,,
2106.15152,hep-lat,Phys.Rev.B,N,Y,N,N?,,,,N,,,,N,,,,N,,N,N,,No,,,N,N,Y,N,N,N,,
2106.15293,hep-lat,JHEP,N,Y,Y,Y,No,,,Y,No,,,N,,,,N,,N,N,,No,,,N,N,Y,N,N,N,,
2106.15391,hep-ph, ,N,Y,N,Y,Paper citation,"Chroma, QUDA, QPhiX",Institutional website,Y,Paper citation,"Chroma, QUDA, QPhiX",Institutional website,N,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2106.15517,quant-ph,Phil.Trans.A.Math.Phys.Eng.Sci.,Y,N,N,N,,,,N,,,,N,,,,N,,N,N,,,,,N,N,N,N,N,N,,
2106.15608,nucl-th,Phys.Lett.B,N,Y,N,N,,,,N,,,,N,,,,N,,Y,N,,Data repository citation,BUQEYE software,GitHub,Y,Y,N,N,N,N,,
2106.15849,hep-ph,JHEP,N,N,N,N,,,,N,,,,N,,,,N,,N,N,,,,,N,N,N,N,N,N,,
2106.16065,hep-lat,Phys.Rev.D,N,Y,N,Y,No,,,Y,No,,,Y,,Paper citation,ETMC,N,,N,N,,No,,,N,N,Y,N,N,N,,
2106.16191,cond-mat.stat-mech, ,N,Y,N,N?,,,,Y?,No,,,N,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2106.16205,hep-th,Phys.Rev.D,N,N,N,N,,,,N,,,,N,,,,N,,N,N,,,,,N,N,N,N,N,N,,
2106.16248,hep-th, ,N,N,N,N,,,,N,,,,N,,,,N,,N,N,,,,,N,N,N,N,N,N,Paper citation,Cites LieART
2107.00342,hep-th,Phys.Rev.D,N,N,N,N,,,,N,,,,N,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2107.00466,hep-lat,Phys.Rev.Lett.,N,Y,Y,Y?,,,,Y,,,,N,,,,N,,N,N,,Mentioned by name,Keras,,N,N,Y,Y,N,N,,
2107.00658,hep-ph, ,N,Y,N,N,,,,N,,,,N,,,,Y,Paper citation,N,N,,No,,,N,N,N,N,N,N,,
2107.00734,hep-lat, ,N,Y,N,Y,Paper citation,"PyTorch, Horovod, Numpy, Scipy, Pandas",,Y,Paper citation,"PyTorch, Horovod, Numpy, Scipy, Pandas",,N,,,,N,,N,N,,Paper citation,"PyTorch, Horovod, Numpy, Scipy, Pandas, Matplotlib, Seaborn",,N,N,Y,N,N,N,,
2107.00768,hep-ph,Phys.Rev.D,N,Y,N,N,,,,N,,,,N,,,,Y,Paper citation,N,N,,No,,,N,N,N,N,N,N,,
2107.01166,hep-lat,Phys.Rev.D,N,Y,N,N,,,,N,,,,N,,,,N,,N,N,,Paper citation,Qiskit,,N,N,N,N,N,N,,
2107.01231,hep-ph,Phys.Rev.D,N,Y,N,N,,,,N,,,,N,,,,Y,Mentioned by name,N,N,,No,,,N,N,N,N,N,N,,
2107.01283,hep-lat, ,N,Y,N,N?,,,,N?,,,,N,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2107.02135,cond-mat.mes-hall, ,N,Y,N,N,,,,N,,,,N,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2107.02528,hep-th,Phys.Rev.D,N,Y,N,N,,,,N,,,,N,,,,Y,Paper citation,N,N,,No,,,N,N,N,N,N,N,,
2107.02574,hep-lat,Phys.Rev.D,N,Y,N,N,,,,Y,Paper citation,DD-αAMG,,Y,,Paper citation,ETMC,Y,Paper citation,N,N,,No,,,N,N,Y,N,N,N,,
2107.02745,hep-lat, ,N,Y,N,Y,Paper citation,OpenStaPLE,,Y,No,,,N,,,,N,,N,N,,No,,,N,N,Y,N,N,N,,
2107.03488,hep-ph,Eur.Phys.J.C,N,Y,N,N,,,,N,,,,N,,,,Y,,N,N,,No,,,N,N,N,N,N,N,,
2107.03626,cond-mat.quant-gas,Phys.Rev.C,N,Y,N,Y?,No,,,Y,No,,,N,,,,N,,N,N,,No,,,N,N,Y,N,N,N,,
2107.03747,hep-lat,Eur.Phys.J.C,N,Y,N,Y,No,,,Y,No,,,N,,,,N,,N,N,,No,,,N,N,Y,N,N,N,,"Has an appendix titled ""Raw Data"", but this is a LaTeX table of only some processed data"
2107.03946,hep-ph,Sci.Bull.,N,Y,N,N,,,,N,,,,N,,,,Y,Paper citation,N,N,,No,,,N,N,N,N,N,N,,
2107.03973,hep-lat,Phys.Rev.Lett.,N,Y,Y,N,,,,Y,No,,,Y,,Paper citation,(Culver et al),N,,N,N,,No,,,N,N,Y,N,N,N,,
2107.04430,hep-lat, ,N,Y,N,N,,,,N,,,,N,,,,N,,N,N,,Mentioned by name,Mathematica,,N,N,N,N,N,N,,"Tables constructed programmatically. Data included as supplementary material, but only in PDF format."
